,City,jpin,title,category_name,status,Exact title,ID,
57,Chennai,JPIN-1304477605,"Dabur Honey, 100g Glass Bottle",Packaged Foods,pending,Dabur Honey  100 g,58,Dabur Honey 100 g
58,Chennai,JPIN-1304477604,"Dabur Honey, 250g Glass Bottle",Packaged Foods,pending,Dabur Honey  250 g,59,Dabur Honey 250 g
59,Chennai,JPIN-1304475134,"Dabur Meswak Complete Oral Care Toothpaste, 100g Box",Personal Care,pending,Meswak Complete Oral Care Toothpaste 100 g,60,Meswak Complete Oral Care Toothpaste 100 g
60,Chennai,JPIN-1304475133,"Dabur Meswak Complete Oral Care Toothpaste, 200g Box",Personal Care,pending,Meswak Complete Oral Care Toothpaste 200 g,61,Meswak Complete Oral Care Toothpaste 200 g
61,Chennai,JPIN-1304477321,"Dabur Odomos Non Sticky Mosquito Repellent Cream, 50g Box",Home Care,pending,Odomos Naturals Mosquito Repellent Cream with Aloe Vera+ Citronella 50 g,62,Odomos Naturals Mosquito Repellent Cream with Aloe Vera + Citronella 50 g
62,Chennai,JPIN-1304475131,"Dabur Red Toothpaste, 100g Box",Personal Care,pending,Dabur Red Toothpaste 100 g,63,Dabur Red Toothpaste 100 g
63,Chennai,JPIN-1304477396,"Dabur Red Toothpaste, 18g Box",Personal Care,pending,Dabur Red Toothpaste 20 g,64,Dabur Red Toothpaste 20 g
64,Chennai,JPIN-1304475106,"Dabur Red Toothpaste, 45g Box",Personal Care,pending,Dabur Red Ayrvedic Toothpaste 42 g,65,Dabur Red Ayurvedic Toothpaste 42 g
65,Chennai,JPIN-1304475231,"Dettol Intense Cool Bathing Bar, 75g Pack",Personal Care,pending,Dettol  Cool Soap 75 g,66,Dettol  Cool Soap 75 g
66,Chennai,JPIN-1304475225,"Dettol Original Bathing Bar, 125g Pack",Personal Care,pending,Dettol Original Soap  125 g,67,Dettol Original Soap 125 g (Buy 4 Get 1 Free)
67,Chennai,JPIN-1304475227,"Dettol Original Bathing Bar, 75g Pack",Personal Care,pending,Dettol Original Soap 75 g,68,Dettol Original Soap 75 g
236,Chennai,JPIN-1304474232,"Dettol Original Hand Sanitizer, 50ml Bottle",Personal Care,pending,Dettol Original Instant Hand Sanitizer 50 ml,237,Dettol Original Instant Hand Sanitizer 50 ml
243,Chennai,JPIN-1304475069,"Dettol Original Hand Wash, 200ml Pump",Personal Care,pending,Dettol Original Liquid  Handwash 200 ml,244,Dettol Original Liquid  Hand Wash 200 ml
244,Chennai,JPIN-1304475200,"Dettol Sensitive Handwash, 175ml Standup Pouch",Personal Care,pending,Dettol Sensitive Handwash 175ml,245,Dettol Sensitive Handwash 175ml
227,Chennai,JPIN-1304475195,"Dettol Skincare Handwash, 175ml Standup Pouch",Personal Care,pending,Dettol Skincare Handwash 175 ml,228,Dettol Skincare Handwash 175 ml
250,Chennai,JPIN-1304477029,"Dheepam Lamp Oil, 1L Bottle","Oil, Ghee and Vanaspati",pending,Dheepam Lamp Oil 1 L,251,Dheepam Lamp Oil 1 L
251,Chennai,JPIN-1304471929,"Dheepam Lamp Oil, 500ml Bottle","Oil, Ghee and Vanaspati",pending,Dheepam Lamp Oil 500 ml,252,Dheepam Lamp Oil 500 ml
68,Chennai,JPIN-1304475801,"Dove Cream Beauty Bathing Bar, 100g Box",Personal Care,pending,Dove Cream Beauty Bathing Bar 100 g,69,Dove Cream Beauty Bathing Bar 100 g
69,Chennai,JPIN-1304477958,"Dove Hair Fall Rescue Shampoo, 4.2ml Sachet",Personal Care,pending,"Dove Hair Fall Rescue Shampoo, 4.2ml Sachet",70,Dove Nutritive Solutions Hair Fall Rescue Shampoo 5.5 ml
70,Chennai,JPIN-1304477299,"Fair & Lovely Advanced Multi Vitamin Face Cream, 25g Box",Personal Care,pending,Glow & Lovely Advanced Multi Vitamin Cream  25 g,71,Glow & Lovely Advanced Multi Vitamin Cream 25 g
71,Chennai,JPIN-1304477197,"Fair & Lovely Advanced Multi Vitamin Face Cream, 9g Sachet",Personal Care,pending,Glow & Lovely Advanced Multi Vitamin Cream  9 g,72,Glow & Lovely Advanced Multi Vitamin Cream  9 g
72,Chennai,JPIN-1304478770,"Fanta, 750ml Bottle",Beverages,pending,Fanta Orange  750 ml,73,Fanta Orange  750 ml
209,Chennai,JPIN-1304473127,"Fortune Sun Lite Refined Sunflower Oil, 1L Pouch","Oil, Ghee and Vanaspati",pending,Fortune Sunlite Refined Sunflower Oil 1 L,210,Fortune Sun Lite Refined Sunflower Oil 1 L Pouch
73,Chennai,JPIN-1304606070,"Godrej Aer Power Pocket Long-Lasting Bathroom Fragrance, Berry + Rush, 10g Pack",Home Care,pending,Godrej Aer Power Pocket Berry Rush Bathroom Freshner 10 g,74,Godrej Aer Power Pocket Berry Rush Bathroom Freshener 10 g
74,Chennai,JPIN-1304607976,"Godrej Aer Power Pocket Long-Lasting Bathroom Fragrance, Floral Delight, 10g Pack",Home Care,pending,Godrej Aer Power Pocket Floral Delight  Bathroom Freshner 10 g,75,Godrej Aer Power Pocket Floral Delight  Bathroom Freshner 10 g
75,Chennai,JPIN-1304606065,"Godrej Aer Power Pocket Long-Lasting Bathroom Fragrance, Fresh Blossom, 10g Pack",Home Care,pending,Godrej Aer Power Pocket Fresh Blossom Bathroom Freshner 10 g,76,Godrej Aer Power Pocket Fresh Blossom Bathroom Freshener 10 g
76,Chennai,JPIN-1304609471,"Godrej Aer Power Pocket Long-Lasting Bathroom Fragrance, Lavander Bloom, 10g Pack",Home Care,pending,Godrej Aer Power Pocket Lavender Bloom Bathroom Freshener 10 g,77,Godrej Aer Power Pocket Lavender Bloom Bathroom Freshener 10 g
77,Chennai,JPIN-1304606064,"Godrej Aer Power Pocket Long-Lasting Bathroom Fragrance, Sea Breeze, 10g Pack",Home Care,pending,Godrej Aer Power Pocket Sea Breeze Bathroom Freshner 10 g,78,Godrej Aer Power Pocket Sea Breeze Bathroom Freshener 10 g
78,Chennai,JPIN-1304476109,"Godrej Expert Rich Creme Hair Colour, Natural Brown 4.00, 20g + 20ml Pack",Personal Care,pending,"Godrej Expert Rich Creme Hair Cru00e8me  Ammonia Free hair colour,Natural Brown (20 g + 20 ml )",79,"Godrej Expert Rich Cru00e8me Ammonia Free Hair Colour, Natural Brown (20 g + 20 ml)"
210,Chennai,JPIN-1304473144,"Gold Winner Refined Sunflower Oil, 1L Pouch","Oil, Ghee and Vanaspati",pending,Gold Winner Refined Sunflower Oil  1 L,211,Gold Winner Refined Sunflower Oil  1 L Pouch
220,Chennai,JPIN-1304473146,"Gold Winner Refined Sunflower Oil, 500ml Pouch","Oil, Ghee and Vanaspati",pending,Gold Winner Refined Sunflower Oil 500 ml,221,Gold Winner Refined Sunflower Oil 500 ml
211,Chennai,JPIN-1304473141,"Gold Winner Refined Sunflower Oil, 5L Can","Oil, Ghee and Vanaspati",pending,Gold Winner Refined Sunflower Oil 5 L,212,Gold Winner Refined Sunflower Oil 5 L
